"GEO_ID","id"
"NAME","Geographic Area Name"
"B19001_001E","Estimate!!Total"
"B19001_001M","Margin of Error!!Total"
"B19001_002E","Estimate!!Total!!Less than $10,000"
"B19001_002M","Margin of Error!!Total!!Less than $10,000"
"B19001_003E","Estimate!!Total!!$10,000 to $14,999"
"B19001_003M","Margin of Error!!Total!!$10,000 to $14,999"
"B19001_004E","Estimate!!Total!!$15,000 to $19,999"
"B19001_004M","Margin of Error!!Total!!$15,000 to $19,999"
"B19001_005E","Estimate!!Total!!$20,000 to $24,999"
"B19001_005M","Margin of Error!!Total!!$20,000 to $24,999"
"B19001_006E","Estimate!!Total!!$25,000 to $29,999"
"B19001_006M","Margin of Error!!Total!!$25,000 to $29,999"
"B19001_007E","Estimate!!Total!!$30,000 to $34,999"
"B19001_007M","Margin of Error!!Total!!$30,000 to $34,999"
"B19001_008E","Estimate!!Total!!$35,000 to $39,999"
"B19001_008M","Margin of Error!!Total!!$35,000 to $39,999"
"B19001_009E","Estimate!!Total!!$40,000 to $44,999"
"B19001_009M","Margin of Error!!Total!!$40,000 to $44,999"
"B19001_010E","Estimate!!Total!!$45,000 to $49,999"
"B19001_010M","Margin of Error!!Total!!$45,000 to $49,999"
"B19001_011E","Estimate!!Total!!$50,000 to $59,999"
"B19001_011M","Margin of Error!!Total!!$50,000 to $59,999"
"B19001_012E","Estimate!!Total!!$60,000 to $74,999"
"B19001_012M","Margin of Error!!Total!!$60,000 to $74,999"
"B19001_013E","Estimate!!Total!!$75,000 to $99,999"
"B19001_013M","Margin of Error!!Total!!$75,000 to $99,999"
"B19001_014E","Estimate!!Total!!$100,000 to $124,999"
"B19001_014M","Margin of Error!!Total!!$100,000 to $124,999"
"B19001_015E","Estimate!!Total!!$125,000 to $149,999"
"B19001_015M","Margin of Error!!Total!!$125,000 to $149,999"
"B19001_016E","Estimate!!Total!!$150,000 to $199,999"
"B19001_016M","Margin of Error!!Total!!$150,000 to $199,999"
"B19001_017E","Estimate!!Total!!$200,000 or more"
"B19001_017M","Margin of Error!!Total!!$200,000 or more"
