B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,GEO_ID,GEOID,NAME
Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",id,id2,Geographic Area Name
2451,194,2366,196,1894,235,124,88,0,95,228,125,16,25,0,95,104,86,0,95,104,86,85,70,68,66,0,95,0,95,0,95,0,95,0,95,17,20,7,12,10,17,1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California"
2103,142,1914,169,1470,214,72,49,13,21,232,111,0,95,10,14,117,83,0,95,117,83,189,144,94,77,0,95,0,95,0,95,0,95,0,95,95,124,85,125,10,15,1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California"
5088,370,4627,350,3542,319,584,133,39,49,291,119,0,95,0,95,171,104,0,95,171,104,461,168,316,155,0,95,0,95,13,19,0,95,109,75,23,32,4,12,19,30,1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California"
3943,427,3493,435,2624,420,339,84,29,45,158,70,0,95,65,71,278,108,8,14,270,104,450,172,379,160,14,16,0,95,0,95,0,95,49,85,8,15,0,95,8,15,1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California"
3481,319,3120,342,1668,204,1066,285,11,18,186,108,0,95,14,19,175,111,31,42,144,98,361,133,216,118,0,95,8,12,0,95,0,95,83,80,54,50,9,15,45,48,1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California"
1707,188,1607,187,456,152,963,217,0,95,49,54,0,95,0,95,139,107,0,95,139,107,100,69,48,40,0,95,4,13,0,95,0,95,48,59,0,95,0,95,0,95,1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California"
4077,516,3929,511,1228,254,1866,420,0,95,453,283,0,95,32,47,350,277,205,288,145,118,148,96,75,53,73,62,0,95,0,95,0,95,0,95,0,95,0,95,0,95,1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California"
3021,450,2648,424,972,184,1174,323,0,95,314,130,9,14,15,22,164,139,0,95,164,139,373,184,236,160,0,95,0,95,13,21,0,95,124,103,0,95,0,95,0,95,1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California"
2444,348,2321,340,1047,206,1205,299,0,95,51,52,0,95,18,33,0,95,0,95,0,95,123,80,109,79,0,95,0,95,0,95,0,95,14,23,0,95,0,95,0,95,1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California"
5053,485,4777,518,959,238,3177,408,0,95,366,226,0,95,75,123,200,167,0,95,200,167,276,127,237,140,0,95,0,95,0,95,0,95,39,84,0,95,0,95,0,95,1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California"
4145,407,3346,393,1799,245,840,256,43,46,512,244,36,58,0,95,116,63,0,95,116,63,799,294,635,301,0,95,0,95,37,46,0,95,54,50,73,55,44,41,29,35,1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California"
2446,171,2250,194,1452,171,431,195,0,95,277,137,40,55,0,95,50,45,0,95,50,45,196,123,118,97,0,95,0,95,0,95,0,95,15,17,63,63,29,43,34,51,1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California"
3521,387,2676,324,826,252,1237,276,14,18,545,235,1,2,0,95,53,47,10,16,43,43,845,218,652,182,2,4,0,95,0,95,0,95,114,121,77,97,24,28,53,93,1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California"
3729,665,3216,508,562,278,1974,365,19,33,543,245,0,95,39,45,79,100,0,95,79,100,513,531,215,190,0,95,0,95,0,95,0,95,298,504,0,95,0,95,0,95,1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California"
1702,287,1473,306,334,129,924,278,0,95,166,100,0,95,0,95,49,41,0,95,49,41,229,133,209,134,0,95,0,95,0,95,0,95,20,16,0,95,0,95,0,95,1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California"
2065,361,1885,368,223,123,1228,344,0,95,409,221,0,95,0,95,25,39,0,95,25,39,180,99,102,94,33,40,0,95,0,95,0,95,45,50,0,95,0,95,0,95,1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California"
2483,504,1459,232,311,117,761,190,0,95,308,148,0,95,10,17,69,72,0,95,69,72,1024,494,465,337,0,95,0,95,0,95,0,95,559,544,0,95,0,95,0,95,1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California"
1528,376,1367,396,304,278,1015,330,0,95,48,47,0,95,0,95,0,95,0,95,0,95,161,147,133,146,0,95,1,2,0,95,0,95,27,43,0,95,0,95,0,95,1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California"
2161,365,1509,257,362,126,857,205,9,13,204,113,15,20,0,95,62,60,0,95,62,60,652,288,468,271,2,4,0,95,0,95,0,95,182,196,0,95,0,95,0,95,1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California"
2442,404,2252,400,324,116,1524,400,18,31,162,78,0,95,114,173,110,76,0,95,110,76,190,143,119,98,0,95,0,95,0,95,0,95,13,22,58,100,0,95,58,100,1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California"
1991,334,1713,272,150,114,1265,271,13,19,221,149,0,95,0,95,64,60,2,7,62,60,278,183,115,131,7,11,0,95,0,95,0,95,16,30,140,174,109,170,31,35,1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California"
899,105,852,119,180,89,245,103,4,7,423,113,0,95,0,95,0,95,0,95,0,95,47,69,34,67,0,95,0,95,0,95,0,95,13,18,0,95,0,95,0,95,1400000US06001402600,06001402600,"Census Tract 4026, Alameda County, California"
1490,265,1235,273,156,114,985,253,6,10,88,114,0,95,0,95,0,95,0,95,0,95,255,175,227,178,0,95,0,95,0,95,0,95,0,95,28,30,0,95,28,30,1400000US06001402700,06001402700,"Census Tract 4027, Alameda County, California"
2400,272,2215,225,712,167,923,161,0,95,453,127,3,6,4,9,120,88,0,95,120,88,185,109,110,69,0,95,0,95,8,14,0,95,59,71,8,9,4,9,4,9,1400000US06001402800,06001402800,"Census Tract 4028, Alameda County, California"
1163,167,1089,154,236,63,170,109,0,95,663,116,0,95,0,95,20,20,0,95,20,20,74,51,33,25,0,95,0,95,0,95,0,95,30,35,11,16,0,95,11,16,1400000US06001402900,06001402900,"Census Tract 4029, Alameda County, California"
2267,279,2151,315,141,87,70,72,50,43,1830,299,0,95,0,95,60,84,0,95,60,84,116,125,116,125,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,1400000US06001403000,06001403000,"Census Tract 4030, Alameda County, California"
1420,239,1264,208,238,68,293,126,8,15,622,138,0,95,0,95,103,81,7,13,96,78,156,118,78,88,0,95,0,95,0,95,0,95,78,69,0,95,0,95,0,95,1400000US06001403100,06001403100,"Census Tract 4031, Alameda County, California"
4061,504,3884,505,1159,239,250,189,0,95,2376,492,0,95,0,95,99,76,38,62,61,44,177,137,61,69,0,95,0,95,0,95,0,95,116,128,0,95,0,95,0,95,1400000US06001403300,06001403300,"Census Tract 4033, Alameda County, California"
4395,480,3781,374,1600,297,830,188,45,57,1121,213,0,95,0,95,185,94,0,95,185,94,614,499,349,242,0,95,0,95,0,95,0,95,252,355,13,31,13,31,0,95,1400000US06001403400,06001403400,"Census Tract 4034, Alameda County, California"
4893,572,4363,492,1949,443,907,318,11,17,1278,406,37,51,13,21,168,107,0,95,168,107,530,269,190,98,147,213,13,20,0,95,0,95,0,95,180,105,160,105,20,31,1400000US06001403501,06001403501,"Census Tract 4035.01, Alameda County, California"
1991,264,1695,254,854,228,491,130,0,95,212,129,0,95,0,95,138,91,0,95,138,91,296,133,89,77,41,59,0,95,91,76,0,95,35,34,40,57,40,57,0,95,1400000US06001403502,06001403502,"Census Tract 4035.02, Alameda County, California"
4835,534,4360,520,1244,191,1605,429,8,16,888,268,0,95,58,73,557,344,0,95,557,344,475,236,233,118,0,95,0,95,0,95,0,95,138,161,104,141,75,97,29,45,1400000US06001403600,06001403600,"Census Tract 4036, Alameda County, California"
2506,238,2348,242,1380,193,478,149,0,95,298,167,0,95,95,96,97,84,0,95,97,84,158,74,65,55,49,44,0,95,0,95,0,95,14,24,30,34,30,34,0,95,1400000US06001403701,06001403701,"Census Tract 4037.01, Alameda County, California"
1897,303,1722,263,1000,221,383,204,0,95,233,131,0,95,0,95,106,105,0,95,106,105,175,103,113,82,0,95,0,95,34,57,0,95,28,41,0,95,0,95,0,95,1400000US06001403702,06001403702,"Census Tract 4037.02, Alameda County, California"
